iter	Accuracy	Logloss
646	0.8623009214	0.3407179668
647	0.8622935618	0.3407176513
648	0.86233036	0.3406824771
649	0.8623745179	0.3406510744
650	0.862352439	0.3406154125
651	0.8624113162	0.3405675765
652	0.8624554741	0.3405361002
653	0.8624775531	0.3404862449
654	0.8624922724	0.3404625413
655	0.8625143513	0.3404334018
656	0.8625437899	0.3403735137
657	0.8625290706	0.3403082491
658	0.8625511496	0.3402556992
659	0.8625585092	0.3402033903
660	0.8625511496	0.3401350015
661	0.8626100268	0.3400884191
662	0.8626615443	0.340043389
663	0.8626247461	0.3400094719
664	0.862646825	0.3399395977
665	0.8626983426	0.3399013136
666	0.8627204216	0.3398743106
667	0.8627057023	0.339842237
668	0.8627130619	0.3397808115
669	0.8627572198	0.3397285619
670	0.8627498602	0.3396812452
671	0.8627277812	0.3396324787
672	0.8627204216	0.3396051128
673	0.8627425005	0.3395595631
674	0.8627866584	0.3395142142
675	0.862816097	0.3394797462
676	0.8628896935	0.3394384516
677	0.8628676146	0.3393967419
678	0.8628602549	0.3393464609
679	0.8629191321	0.3393090231
680	0.8628896935	0.3392710517
681	0.8629191321	0.3392340477
682	0.8629117725	0.3391962197
683	0.8629264918	0.3391785111
684	0.8629191321	0.3391529312
685	0.862985369	0.3390954672
686	0.8630000883	0.3390490396
687	0.8630663252	0.3390215682
688	0.8630810445	0.3389931053
689	0.8631178427	0.3389602173
690	0.8630736848	0.3389113959
691	0.8631031234	0.3388616664
692	0.8631693603	0.3388321439
693	0.8631840796	0.3387937442
694	0.8631987989	0.3387645378
695	0.8632503165	0.3387230934
696	0.8632429568	0.3386684512
697	0.8633165533	0.3386025135
698	0.8633459919	0.3385539767
699	0.8633386323	0.3385235256
700	0.8633165533	0.3384775752
701	0.8633754305	0.3384465639
702	0.8633901498	0.3384052018
703	0.8633901498	0.3383631455
704	0.8633901498	0.3383275632
705	0.8633975095	0.3382859343
706	0.8634563867	0.3382378171
707	0.863493185	0.3382044687
708	0.8635667815	0.3381635278
709	0.8635667815	0.3381276457
710	0.863618299	0.3380829888
711	0.8636624569	0.3380604469
712	0.8636845359	0.3380120417
713	0.8636771762	0.3379795187
714	0.8637066149	0.337930975
715	0.8637066149	0.3379055042
716	0.8637286938	0.3378751006
717	0.8637507728	0.3378315146
718	0.8637507728	0.3378013158
719	0.8637949307	0.3377649563
720	0.8638022903	0.3377185322
721	0.8638170096	0.3377043455
722	0.8638022903	0.3376786281
723	0.8638022903	0.3376520642
724	0.8637949307	0.337603141
725	0.86380965	0.3375414711
726	0.8638317289	0.3374778588
727	0.8638758868	0.3374155162
728	0.8638758868	0.3373968484
729	0.8638906061	0.3373661093
730	0.8638906061	0.3373306424
731	0.8638906061	0.337289868
732	0.8639421237	0.3372622276
733	0.8640525185	0.3372010341
734	0.8640304395	0.3371700344
735	0.8640451588	0.3371158498
736	0.8640304395	0.3370879722
737	0.8641113957	0.3370472372
738	0.8640819571	0.3370020311
739	0.8640672378	0.336970024
740	0.864104036	0.3369178037
741	0.8641408343	0.3368585596
742	0.8641702729	0.3368302466
743	0.8641629132	0.3367964982
744	0.8641849922	0.3367608926
745	0.8641997115	0.3367316223
746	0.8641923519	0.3366964408
747	0.8642291501	0.3366697749
748	0.8642806677	0.3366307923
749	0.8643248256	0.3365849662
750	0.8643321852	0.336529446
751	0.8643321852	0.336482887
752	0.8643763431	0.3364331009
753	0.8643616238	0.3364021862
754	0.8643763431	0.3363569954
755	0.8643616238	0.336326058
756	0.8644057817	0.3362875013
757	0.8644352203	0.336237432
758	0.8644499397	0.3361970336
759	0.8644131414	0.3361543665
760	0.8644499397	0.3361043523
761	0.8645088169	0.3360535773
762	0.8645088169	0.3360267866
763	0.8644867379	0.3359756238
764	0.8644867379	0.3359417769
765	0.8645088169	0.3358999227
766	0.8645235362	0.335853557
767	0.8645824134	0.3358222294
768	0.864589773	0.3357886298
769	0.8646412906	0.335724957
770	0.8646633695	0.335684702
771	0.8646486502	0.3356512716
772	0.8646560099	0.3356238595
773	0.8647369661	0.3355971295
774	0.8647222468	0.3355802194
775	0.8647443257	0.3355411398
776	0.8648326415	0.3355047759
777	0.8648694398	0.3354614154
778	0.8648694398	0.3354107786
779	0.864906238	0.3353657206
780	0.8649135977	0.335319403
781	0.864906238	0.3352811774
782	0.8649135977	0.3352092379
783	0.864928317	0.3351817425
784	0.8649356766	0.3351531241
785	0.8650166328	0.3351028937
786	0.8650239925	0.3350724874
787	0.8650313521	0.3350234875
788	0.8650387118	0.3349869579
789	0.8650239925	0.3349438041
790	0.8651196679	0.3348967136
791	0.8651785451	0.3348613007
792	0.8651417469	0.3348201045
793	0.8651491065	0.3347890261
794	0.8652521417	0.3347277342
795	0.8652227031	0.3346922792
796	0.865266861	0.3346678836
797	0.865266861	0.3346372965
798	0.865266861	0.3345842797
799	0.8652595013	0.3345418548
800	0.8652889399	0.3344818526
801	0.8652889399	0.3344377522
802	0.8653257382	0.3344051322
803	0.8653478171	0.3343681733
804	0.8653698961	0.3343099745
805	0.865414054	0.3342672996
806	0.8653993347	0.3341924014
807	0.8654066943	0.3341425781
808	0.8653698961	0.3341160957
809	0.8653551768	0.3340869137
810	0.865391975	0.3340284809
811	0.8654582119	0.333990384
812	0.8654729312	0.3339309019
813	0.8654361329	0.3338648551
814	0.8655097295	0.3338265468
815	0.8655170891	0.3337990581
816	0.8655391681	0.3337731323
817	0.8655391681	0.3337356744
818	0.8655318084	0.333696915
819	0.8655980453	0.3336591892
820	0.8656274839	0.3336258742
821	0.8656790014	0.3335897471
822	0.8656569225	0.3335488442
823	0.8656790014	0.3335071927
824	0.8658114752	0.3334597476
825	0.8658188348	0.3334228745
826	0.8657967559	0.3333727931
827	0.8658114752	0.3333278691
828	0.8658188348	0.3332811034
829	0.8658556331	0.3332493599
830	0.8658703524	0.3332037657
831	0.8659071506	0.3331624559
832	0.8659733875	0.3331277571
833	0.8659733875	0.3330866864
834	0.8660175454	0.3330399853
835	0.8660617033	0.3330093787
836	0.8660396244	0.3329884643
837	0.8660249051	0.3329713938
838	0.8660249051	0.3329201736
839	0.8660175454	0.3328876099
840	0.8660101858	0.3328530251
841	0.866046984	0.3328195873
842	0.866046984	0.3327972422
843	0.866069063	0.3327579849
844	0.8661205805	0.3327174884
845	0.8661058612	0.3326889679
846	0.8661500191	0.3326428793
847	0.8661426595	0.3326159297
848	0.8661500191	0.3325872597
849	0.8661132209	0.3325581576
850	0.8661794577	0.3325209662
851	0.8662088963	0.3324838389
852	0.8662309753	0.332449505
853	0.8662236156	0.3324235697
854	0.8662456946	0.3324053106
855	0.8662972122	0.3323699953
856	0.8663119315	0.3323257803
857	0.8663119315	0.3322886282
858	0.8662824929	0.3322537407
859	0.8663781683	0.3322067396
860	0.8663781683	0.3321753218
861	0.8663708087	0.332153913
862	0.8663928876	0.3321080117
863	0.8664002473	0.3320776822
864	0.8664664841	0.3320341291
